year,month,day,ndvi,city,COVID,rank
2013,4,10,NA,Kampala,No,5
2013,4,26,NA,Kampala,No,5
2014,2,8,NA,Kampala,No,5
2014,2,24,NA,Kampala,No,5
2014,3,28,NA,Kampala,No,5
2014,4,13,0.764,Kampala,No,5
2015,2,27,0.714,Kampala,No,5
2015,3,15,0.712,Kampala,No,5
2015,4,16,NA,Kampala,No,5
2016,2,14,0.717,Kampala,No,5
2016,3,1,NA,Kampala,No,5
2016,3,17,NA,Kampala,No,5
2016,4,2,NA,Kampala,No,5
2016,4,18,NA,Kampala,No,5
2017,2,16,NA,Kampala,No,5
2017,3,4,NA,Kampala,No,5
2017,3,20,NA,Kampala,No,5
2017,4,5,0.734,Kampala,No,5
2017,4,21,0.814,Kampala,No,5
2018,2,3,0.694,Kampala,No,5
2018,2,19,NA,Kampala,No,5
2018,3,7,NA,Kampala,No,5
2018,3,23,NA,Kampala,No,5
2018,4,24,NA,Kampala,No,5
2019,2,6,0.547,Kampala,No,5
2019,2,22,NA,Kampala,No,5
2019,3,10,NA,Kampala,No,5
2019,3,26,NA,Kampala,No,5
2019,4,11,0.737,Kampala,No,5
2020,2,9,0.777,Kampala,Yes,5
2013,4,7,0.107,Karachi2,No,7
2014,2,3,0.142,Karachi2,No,7
2014,2,10,0.123,Karachi2,No,7
2014,2,10,0.131,Karachi2,No,7
2014,2,19,0.128,Karachi2,No,7
2014,2,26,0.128,Karachi2,No,7
2014,2,26,0.13,Karachi2,No,7
2014,3,7,0.128,Karachi2,No,7
2014,3,14,0.122,Karachi2,No,7
2014,3,14,0.141,Karachi2,No,7
2014,3,23,0.125,Karachi2,No,7
2014,3,30,0.122,Karachi2,No,7
2014,3,30,0.129,Karachi2,No,7
2014,4,8,0.112,Karachi2,No,7
2014,4,15,NA,Karachi2,No,7
2014,4,15,NA,Karachi2,No,7
2014,4,24,0.108,Karachi2,No,7
2015,2,6,0.098,Karachi2,No,7
2015,2,13,0.099,Karachi2,No,7
2015,2,13,0.099,Karachi2,No,7
2015,2,22,NA,Karachi2,No,7
2015,3,1,0.098,Karachi2,No,7
2015,3,1,0.105,Karachi2,No,7
2015,3,10,0.086,Karachi2,No,7
2015,3,17,0.092,Karachi2,No,7
2015,3,17,0.102,Karachi2,No,7
2015,3,26,0.093,Karachi2,No,7
2015,4,2,0.09,Karachi2,No,7
2015,4,2,0.096,Karachi2,No,7
2015,4,11,0.086,Karachi2,No,7
2015,4,18,0.092,Karachi2,No,7
2015,4,18,NA,Karachi2,No,7
2015,4,27,0.096,Karachi2,No,7
2016,2,9,0.082,Karachi2,No,7
2016,2,16,0.082,Karachi2,No,7
2016,2,16,0.089,Karachi2,No,7
2016,2,25,0.082,Karachi2,No,7
2016,3,3,0.09,Karachi2,No,7
2016,3,3,0.09,Karachi2,No,7
2016,3,12,0.084,Karachi2,No,7
2016,3,19,0.085,Karachi2,No,7
2016,3,19,0.089,Karachi2,No,7
2016,3,28,NA,Karachi2,No,7
2016,4,4,0.077,Karachi2,No,7
2016,4,4,0.092,Karachi2,No,7
2016,4,13,0.082,Karachi2,No,7
2016,4,20,0.08,Karachi2,No,7
2016,4,20,0.094,Karachi2,No,7
2016,4,29,0.078,Karachi2,No,7
2017,2,2,0.13,Karachi2,No,7
2017,2,2,0.143,Karachi2,No,7
2017,2,11,0.146,Karachi2,No,7
2017,2,18,0.154,Karachi2,No,7
2017,2,18,0.186,Karachi2,No,7
2017,2,27,0.156,Karachi2,No,7
2017,3,6,NA,Karachi2,No,7
2017,3,6,NA,Karachi2,No,7
2017,3,15,0.129,Karachi2,No,7
2017,3,22,0.123,Karachi2,No,7
2017,3,22,0.128,Karachi2,No,7
2017,3,31,0.115,Karachi2,No,7
2017,4,7,0.1,Karachi2,No,7
2017,4,7,0.107,Karachi2,No,7
2017,4,16,0.115,Karachi2,No,7
2017,4,23,0.114,Karachi2,No,7
2017,4,23,0.116,Karachi2,No,7
2018,2,5,NA,Karachi2,No,7
2018,2,5,NA,Karachi2,No,7
2018,2,14,0.142,Karachi2,No,7
