year,month,day,ndvi,city,COVID
2013,4,5,NA,China_shrub,No
2013,4,10,NA,China_shrub,No
2013,4,17,NA,China_shrub,No
2013,4,26,NA,China_shrub,No
2014,2,8,NA,China_shrub,No
2014,2,15,0.26,China_shrub,No
2014,2,24,NA,China_shrub,No
2014,3,3,NA,China_shrub,No
2014,3,12,0.248,China_shrub,No
2014,3,19,NA,China_shrub,No
2014,3,28,0.197,China_shrub,No
2014,4,4,0.247,China_shrub,No
2014,4,13,0.243,China_shrub,No
2014,4,20,NA,China_shrub,No
2014,4,29,0.289,China_shrub,No
2015,2,2,0.247,China_shrub,No
2015,2,18,0.249,China_shrub,No
2015,2,27,NA,China_shrub,No
2015,3,6,0.23,China_shrub,No
2015,3,15,0.234,China_shrub,No
2015,3,22,0.235,China_shrub,No
2015,3,31,0.224,China_shrub,No
2015,4,7,0.261,China_shrub,No
2015,4,16,0.233,China_shrub,No
2015,4,23,0.243,China_shrub,No
2016,2,5,NA,China_shrub,No
2016,2,14,0.042,China_shrub,No
2016,2,21,0.144,China_shrub,No
2016,3,1,0.195,China_shrub,No
2016,3,8,0.212,China_shrub,No
2016,3,17,0.163,China_shrub,No
2016,3,24,0.257,China_shrub,No
2016,4,2,0.248,China_shrub,No
2016,4,9,0.259,China_shrub,No
2016,4,18,0.255,China_shrub,No
2016,4,25,NA,China_shrub,No
2017,2,16,0.228,China_shrub,No
2017,2,23,0.123,China_shrub,No
2017,3,4,0.236,China_shrub,No
2017,3,11,0.238,China_shrub,No
2017,3,20,NA,China_shrub,No
2017,3,27,NA,China_shrub,No
2017,4,5,0.243,China_shrub,No
2017,4,12,0.249,China_shrub,No
2017,4,21,NA,China_shrub,No
2017,4,28,0.279,China_shrub,No
2018,2,3,0.219,China_shrub,No
2018,2,10,NA,China_shrub,No
2018,2,19,NA,China_shrub,No
2018,2,26,0.24,China_shrub,No
2018,3,7,NA,China_shrub,No
2018,3,14,0.111,China_shrub,No
2018,3,23,NA,China_shrub,No
2018,3,30,0.218,China_shrub,No
2018,4,8,0.233,China_shrub,No
2018,4,15,0.234,China_shrub,No
2018,4,24,0.249,China_shrub,No
2019,2,6,NA,China_shrub,No
2019,2,13,NA,China_shrub,No
